epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,6302.32,1.26458,1.66275,0.92545,0.0127,1.20075,0.76491,0.83728,0.86273,0.54884,0.76711,0.83994,0.86703,0.55111,1.20864,1.53407,0.61854,0.0173,0,0.000808828,0.000808828,0.000808828
28,6500.3,1.25446,1.65675,0.92127,0.01259,1.19051,0.75512,0.82484,0.84395,0.54519,0.75564,0.83115,0.84791,0.54667,1.18395,1.52782,0.63212,0.01681,0,0.000775822,0.000775822,0.000775822
29,6749.6,1.26921,1.67202,0.92198,0.01266,1.1887,0.76358,0.81499,0.83246,0.53119,0.76994,0.81644,0.83513,0.53901,1.22383,1.5335,0.65947,0.01769,0,0.000742815,0.000742815,0.000742815
30,6986.17,1.26089,1.65616,0.92201,0.01263,1.19325,0.7414,0.81124,0.83231,0.54297,0.74835,0.81791,0.84033,0.5402,1.20026,1.53304,0.65029,0.0172,0,0.000709809,0.000709809,0.000709809
31,7252,1.24907,1.65128,0.92438,0.01245,1.18901,0.77652,0.79068,0.82383,0.53291,0.78278,0.79647,0.83223,0.54021,1.18954,1.52319,0.65367,0.0169,0,0.000676802,0.000676802,0.000676802
32,7520.87,1.23626,1.64469,0.89922,0.01234,1.20339,0.77956,0.80657,0.84605,0.55025,0.78292,0.81057,0.84984,0.55248,1.16479,1.5143,0.64581,0.01643,0,0.000643795,0.000643795,0.000643795
33,7790.77,1.24057,1.63698,0.90769,0.01221,1.21296,0.76919,0.80427,0.83193,0.54255,0.77577,0.80439,0.83677,0.54642,1.16629,1.52809,0.63359,0.01651,0,0.000610789,0.000610789,0.000610789
34,8053.82,1.22919,1.62541,0.87735,0.01223,1.13789,0.78779,0.80658,0.84885,0.54957,0.79361,0.813,0.85489,0.55048,1.17203,1.51785,0.62153,0.01653,0,0.000577782,0.000577782,0.000577782
35,8319.69,1.23335,1.61536,0.86017,0.01226,1.11631,0.80491,0.80764,0.85625,0.54735,0.80902,0.81164,0.8613,0.55076,1.1986,1.50483,0.61419,0.01703,0,0.000544776,0.000544776,0.000544776
36,8589.52,1.22427,1.61483,0.87581,0.01215,1.10769,0.7904,0.82676,0.86064,0.55852,0.7933,0.82983,0.86198,0.56453,1.17084,1.49079,0.60163,0.01661,0,0.000511769,0.000511769,0.000511769
37,8856.14,1.20739,1.61436,0.86685,0.0119,1.07329,0.7531,0.81811,0.84318,0.55287,0.749,0.83914,0.8472,0.55562,1.17241,1.50364,0.61016,0.01657,0,0.000478762,0.000478762,0.000478762
38,9101.65,1.20733,1.60394,0.84241,0.01175,1.09278,0.77328,0.82291,0.84793,0.54476,0.77962,0.82504,0.85687,0.55295,1.16837,1.49358,0.60398,0.01655,0,0.000445756,0.000445756,0.000445756
39,9336.67,1.19423,1.59338,0.83785,0.01175,1.06584,0.77902,0.82123,0.85807,0.56117,0.7856,0.82604,0.8628,0.56345,1.14733,1.48193,0.60031,0.01619,0,0.000412749,0.000412749,0.000412749
40,9489.37,1.20348,1.60041,0.83799,0.01197,1.06079,0.77866,0.83245,0.86698,0.56536,0.80026,0.82121,0.86904,0.56569,1.14911,1.48987,0.59458,0.01623,0,0.000379743,0.000379743,0.000379743
41,9660.82,1.14289,1.47026,0.59504,0.01535,0.7619,0.79553,0.80407,0.85506,0.5559,0.79799,0.8189,0.85932,0.56093,1.16998,1.48035,0.61099,0.01664,0,0.000346736,0.000346736,0.000346736
42,9815.88,1.1198,1.44485,0.55751,0.01491,0.70197,0.78845,0.8155,0.86151,0.56443,0.80012,0.81751,0.8678,0.56861,1.15206,1.48118,0.60084,0.01622,0,0.000313729,0.000313729,0.000313729
43,9970.15,1.11275,1.43462,0.55158,0.01492,0.71016,0.78087,0.83307,0.85839,0.56184,0.78613,0.83886,0.86541,0.565,1.15186,1.47855,0.59689,0.01624,0,0.000280723,0.000280723,0.000280723
44,10124.3,1.11197,1.43404,0.53078,0.01484,0.67419,0.7954,0.83695,0.86143,0.56432,0.80137,0.84362,0.86813,0.56977,1.14469,1.47719,0.59587,0.01605,0,0.000247716,0.000247716,0.000247716
45,10279.9,1.09697,1.42468,0.52915,0.01446,0.66938,0.79769,0.82474,0.8595,0.56586,0.81169,0.82199,0.86399,0.56754,1.15514,1.48379,0.59358,0.01622,0,0.00021471,0.00021471,0.00021471
46,10438.1,1.08798,1.41885,0.51978,0.01427,0.64223,0.80081,0.8122,0.85313,0.56338,0.80823,0.81532,0.8595,0.56734,1.14664,1.47373,0.59959,0.01617,0,0.000181703,0.000181703,0.000181703
47,10594.2,1.09218,1.42105,0.51672,0.01435,0.6541,0.78764,0.8172,0.85028,0.55708,0.79419,0.82432,0.85557,0.56193,1.15825,1.47565,0.60679,0.01622,0,0.000148696,0.000148696,0.000148696
48,10750.7,1.08191,1.41036,0.50887,0.01423,0.6161,0.79307,0.82487,0.85805,0.56917,0.79918,0.83021,0.86407,0.569,1.13948,1.47599,0.59407,0.01593,0,0.00011569,0.00011569,0.00011569
49,10908.2,1.07157,1.40569,0.50159,0.01406,0.62903,0.80204,0.81455,0.86174,0.56763,0.80872,0.82078,0.86706,0.56984,1.14537,1.47673,0.58721,0.01605,0,8.26832e-05,8.26832e-05,8.26832e-05
50,11064.5,1.07349,1.4043,0.49781,0.01414,0.62082,0.81127,0.81339,0.86348,0.56875,0.81631,0.81872,0.86725,0.57014,1.14043,1.4727,0.59227,0.01601,0,4.96766e-05,4.96766e-05,4.96766e-05
