epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,10264.3,1.29022,1.63152,0.68618,0.01288,0.35438,0.94764,0.94545,0.97883,0.64224,0.95258,0.9451,0.98047,0.64603,1.2425,1.55411,0.44865,0.01733,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10466,1.28017,1.63493,0.67151,0.01282,0.35852,0.93952,0.9307,0.97653,0.64794,0.94298,0.93449,0.97859,0.65071,1.20707,1.55086,0.4628,0.01667,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10669.6,1.27567,1.63147,0.66895,0.01263,0.3503,0.95308,0.94207,0.97941,0.65304,0.95159,0.94309,0.97966,0.65027,1.20364,1.56773,0.45566,0.01664,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10871.6,1.26107,1.61337,0.66218,0.01256,0.34087,0.9466,0.94491,0.98096,0.66198,0.94375,0.94776,0.98224,0.66001,1.16804,1.53679,0.43652,0.0161,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11073.7,1.26517,1.61232,0.66132,0.01249,0.34205,0.94932,0.94851,0.98352,0.65226,0.94988,0.94883,0.98303,0.65375,1.21484,1.56388,0.40812,0.01689,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11276.4,1.25988,1.61665,0.66642,0.01251,0.35047,0.94588,0.94083,0.97741,0.6465,0.94909,0.94403,0.97992,0.64835,1.22567,1.55152,0.44386,0.01694,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11478.6,1.25229,1.59617,0.66182,0.01237,0.33926,0.93436,0.94616,0.97815,0.66017,0.93528,0.94989,0.97915,0.65671,1.19544,1.54849,0.45495,0.01666,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11682.3,1.24773,1.60744,0.65375,0.01233,0.33753,0.92544,0.9451,0.97479,0.65328,0.92996,0.95043,0.97736,0.64832,1.20147,1.56178,0.45538,0.01664,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,11884.7,1.24747,1.59496,0.6597,0.01244,0.34184,0.943,0.94616,0.98007,0.66053,0.94278,0.94854,0.9796,0.65538,1.17786,1.55476,0.43717,0.01611,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12087.6,1.24913,1.59639,0.66475,0.01226,0.33041,0.94432,0.9467,0.98003,0.66351,0.94897,0.95172,0.982,0.65952,1.17512,1.54082,0.43577,0.01618,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12290.1,1.24159,1.57557,0.64441,0.01222,0.32513,0.94729,0.95842,0.98331,0.65392,0.94943,0.95789,0.98471,0.65622,1.21082,1.57737,0.39925,0.01676,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12492.1,1.22398,1.57061,0.61984,0.01217,0.31944,0.95008,0.96162,0.98319,0.66156,0.95271,0.96429,0.98347,0.65671,1.17335,1.53483,0.41803,0.01609,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12694.6,1.23005,1.58735,0.62249,0.01219,0.32349,0.94578,0.95763,0.98228,0.66376,0.95227,0.96269,0.9844,0.65886,1.1832,1.54402,0.398,0.01632,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12897,1.22515,1.56744,0.62033,0.01201,0.31649,0.95636,0.96162,0.98336,0.66901,0.96276,0.96055,0.98392,0.66223,1.17098,1.54038,0.38334,0.01612,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13100.7,1.21728,1.56586,0.60503,0.01187,0.31682,0.94909,0.95149,0.98226,0.65694,0.9513,0.95576,0.98366,0.65321,1.19522,1.55551,0.39666,0.01634,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13302.3,1.20775,1.5555,0.59968,0.01193,0.3145,0.95411,0.95416,0.98233,0.66146,0.95518,0.95522,0.98192,0.65903,1.18952,1.55645,0.39649,0.01634,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13506.6,1.21205,1.54894,0.60513,0.01189,0.32091,0.95123,0.95658,0.98386,0.66812,0.95463,0.95336,0.98467,0.66448,1.16741,1.54287,0.41613,0.01611,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13709.9,1.2144,1.56723,0.61662,0.01192,0.31693,0.94714,0.95513,0.98325,0.65857,0.94661,0.95459,0.98279,0.6539,1.19522,1.55401,0.41162,0.01652,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13912.9,1.20557,1.55316,0.60971,0.01177,0.30686,0.9372,0.95465,0.98226,0.66462,0.94146,0.95161,0.98146,0.66177,1.17648,1.54837,0.41319,0.01629,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14116.3,1.19648,1.53861,0.59808,0.01174,0.30669,0.94727,0.95755,0.98175,0.66207,0.95027,0.95752,0.98304,0.65822,1.16408,1.54421,0.41745,0.01604,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14321.8,1.20054,1.54315,0.59683,0.01171,0.31671,0.95024,0.95687,0.98498,0.66344,0.95582,0.95724,0.98547,0.66157,1.1734,1.5313,0.39613,0.01607,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14529.1,1.18625,1.53083,0.58498,0.01161,0.30356,0.94863,0.96469,0.98316,0.66335,0.9523,0.96842,0.98462,0.66128,1.1706,1.54721,0.39026,0.01604,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14737.2,1.19064,1.52581,0.59956,0.01161,0.30764,0.9531,0.96409,0.98453,0.66747,0.95734,0.96885,0.98698,0.66441,1.1674,1.5264,0.40737,0.01605,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14942.2,1.18002,1.52649,0.59667,0.01158,0.30768,0.95762,0.96482,0.98683,0.66686,0.95958,0.96695,0.98775,0.66436,1.18244,1.54607,0.39114,0.01623,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15146.7,1.18203,1.51414,0.5914,0.01157,0.29961,0.95486,0.95849,0.98392,0.67041,0.95857,0.96199,0.98497,0.66559,1.17276,1.53095,0.40204,0.01613,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15350.7,1.17226,1.51268,0.58346,0.0114,0.29969,0.96074,0.96055,0.98444,0.66732,0.96553,0.96215,0.98474,0.66311,1.16551,1.5345,0.39021,0.01597,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15555,1.18168,1.52163,0.57001,0.01143,0.29352,0.96441,0.95096,0.98424,0.66801,0.95314,0.965,0.98411,0.6616,1.17325,1.54895,0.37766,0.01616,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15758.6,1.16517,1.51049,0.57489,0.01134,0.29385,0.96203,0.95883,0.98388,0.66635,0.96252,0.95821,0.9835,0.666,1.17411,1.54089,0.40225,0.01612,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15962.6,1.15703,1.51708,0.57451,0.01125,0.29475,0.95727,0.95527,0.98222,0.66746,0.9631,0.96162,0.98464,0.66417,1.17021,1.52956,0.39263,0.01611,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16166.9,1.15261,1.49769,0.56206,0.01117,0.29417,0.96764,0.95639,0.98247,0.66498,0.97144,0.96079,0.98487,0.66305,1.17314,1.53647,0.38785,0.01617,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16370,1.14636,1.49344,0.54332,0.01112,0.28476,0.96255,0.95912,0.98401,0.66931,0.9663,0.96285,0.98545,0.66648,1.17179,1.53903,0.38207,0.01604,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
