epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,4728.09,1.28231,1.62591,0.89528,0.01279,1.2122,0.55915,0.82851,0.65879,0.42639,0.5626,0.83346,0.66232,0.42335,1.21557,1.57317,0.64799,0.01691,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4932.29,1.27684,1.63011,0.87388,0.01284,1.2035,0.55877,0.82595,0.63871,0.414,0.56132,0.83056,0.64108,0.41301,1.21746,1.56312,0.67265,0.01689,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5137.84,1.27176,1.62367,0.87446,0.01263,1.17738,0.57326,0.81031,0.63102,0.40358,0.57352,0.81788,0.63258,0.4038,1.20589,1.55585,0.69739,0.01674,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5343.88,1.26156,1.60887,0.86267,0.01258,1.2013,0.57775,0.81682,0.65922,0.42125,0.57767,0.81623,0.6588,0.42208,1.20591,1.5658,0.66088,0.01653,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5548.1,1.26345,1.61437,0.87201,0.0126,1.18991,0.59304,0.80158,0.65848,0.4222,0.59461,0.80345,0.66053,0.42376,1.21795,1.55494,0.6624,0.01689,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5752.49,1.25971,1.61664,0.87165,0.01255,1.19606,0.56495,0.80115,0.64147,0.41386,0.56726,0.80392,0.64278,0.41438,1.21285,1.55883,0.67617,0.01674,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5957.73,1.24826,1.59858,0.86736,0.01236,1.19899,0.57475,0.81648,0.63687,0.41208,0.57209,0.81845,0.63759,0.40987,1.20525,1.5418,0.68331,0.01677,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6163.01,1.23559,1.60865,0.84389,0.01222,1.18339,0.56633,0.75809,0.63367,0.41062,0.56684,0.75871,0.63439,0.41052,1.20176,1.54693,0.72003,0.01674,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6368.6,1.25026,1.59767,0.87037,0.0125,1.16821,0.54545,0.7556,0.62344,0.40015,0.54861,0.76444,0.62431,0.39853,1.2005,1.55164,0.68768,0.01646,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6574.34,1.25588,1.60973,0.87563,0.01242,1.16151,0.57538,0.81256,0.6556,0.4301,0.58028,0.81642,0.65843,0.42719,1.16921,1.53276,0.64254,0.01609,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
